experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,mae_std,0.016819921002024785
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,fde_mean,180636.5673828125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,fde_std,35335.51611328125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,ade_mean,160589.95709228516
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,ade_std,27086.301696777344
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,mse_mean,0.0188865737109154
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,mse_std,0.010048084212030517
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,mae_mean,0.08141196201904677
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,mae_std,0.016819921002024785
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,fde_mean,180636.5673828125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,fde_std,35335.51611328125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,ade_mean,160589.95709228516
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,256,ade_std,27086.301696777344
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,mse_mean,0.0027412861218181206
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,mse_std,9.9196697192383e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,mae_mean,0.0386595037416555
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,mae_std,0.00020550924818962812
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,fde_mean,163380.6884765625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,fde_std,15259.40625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,ade_mean,82426.2142944336
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,32,ade_std,1681.8179321289062
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,mse_mean,0.00715905541437678
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,mse_std,3.413469676161185e-05
